marque,modele,annee,sous_modele,version,prix,consommation,moteur,puissance,transmission,carrosserie,portes,places,url
Acura,MDX,2016,Base,Tech,60250,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2016/base/tech/
Acura,MDX,2017,Base,Base,53890,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2017/base/base/
Acura,MDX,2017,Base,Elite,65990,12.2 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2017/base/elite/
Acura,MDX,2017,Base,Elite 6 passagers,65990,12.2 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,6,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2017/base/elite-6-passagers/
Acura,MDX,2017,Base,Navi,57390,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2017/base/navi/
Acura,MDX,2017,Base,Sport Hybride,69990,9.1  (Automatique ville) / 9.0 (Automatique autoroute),V6 3.0L SACT 16 soupapes VTEC,321 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2017/base/sport-hybride/
Acura,MDX,2017,Base,Tech,60390,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2017/base/tech/
Acura,MDX,2019,Base,A-Spec,60490,12.2 (Automatique ville) / 9.0 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2019/base/a-spec/
Acura,MDX,2019,Base,Base,54390,12.2 (Automatique ville) / 9.0 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2019/base/base/
Acura,MDX,2019,Base,Elite,66990,12.2 (Automatique ville) / 9.0 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2019/base/elite/
Acura,MDX,2019,Base,Sport Hybride,66990,9.1 (Automatique ville) / 9.0 (Automatique autoroute),V6 3.0L SACT 24 soupapes i-VTEC,321 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2019/base/sport-hybride/
Acura,MDX,2019,Base,Tech,57890,12.2 (Automatique ville) / 9.0 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2019/base/tech/
Acura,MDX,2019,Base,Élite 6 Passagers,66990,12.2 (Automatique ville) / 9.0 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,6,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2019/base/elite-6-passagers/
